category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
nokia,điện thoại nokia 6300 4g trắng,https://pico.vn/41819/dien-thoai-di-dong-nokia-6300-4g-ta1286-ds-vn-white.html,1290000,https://cdn.pico.vn/product/41819/363033_637408868334787197nokia-6300-trang-1.jpg,nan,nan,camera sau vga,nan,snapdragon 210 4 nhân,nan,512 mb
nokia,điện thoại nokia 6300 4g,https://pico.vn/41818/dien-thoai-di-dong-nokia-6300-4g-ta1286-ds-vn-charcoal.html,1290000,https://cdn.pico.vn/product/41818/363025_637408854091031756nokia-6300-xam-2.jpg,nan,nan,camera sau vga,nan,nan,nan,512 mb
nokia,điện thoại nokia 215 4g cyan,https://pico.vn/41815/dien-thoai-di-dong-nokia-215-4g-ta1272-ds-vn-cyan.html,749000,https://cdn.pico.vn/product/41815/363043_637408832231280641nokia-215-xanh-2.jpg,12 tháng,2.4 inch qvga (240 x 320 pixels),nan,nan,nan,nan,nan
nokia,điện thoại nokia 215 4g black,https://pico.vn/41814/dien-thoai-di-dong-nokia-215-4g-ta1272-ds-vn-black.html,749000,https://cdn.pico.vn/product/41814/362989_637408828200051906nokia-215-den-2.jpg,12 tháng,2.4 inch qvga (240 x 320 pixels),nan,nan,nan,nan,nan
nokia,điện thoại nokia 2.4 ta tím,https://pico.vn/41763/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-tim.html,2290000,https://cdn.pico.vn/product/41763/362566_10047573-dien-thoai-nokia-2-4-tim-hoang-hon-2.jpg,android 10,tft lcd,chính 13 mp & phụ 2 mp,5 mp,helio p22,2 gb,32gb
nokia,điện thoại nokia 2.4 ta xanh,https://pico.vn/41741/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-xanh.html,2290000,https://cdn.pico.vn/product/41741/362302_637378374294534761nokia-2-4-blue-2.jpg,android 10,tft lcd,chính 13 mp & phụ 2 mp,5 mp,mediatek mt6762 8 nhân (helio p22),2 gb,32 gb
nokia,điện thoại nokia 2.4 ta đen,https://pico.vn/41740/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-den.html,2290000,https://cdn.pico.vn/product/41740/362291_637378378339974382nokia-2-4-grey-2.jpg,android 10,tft lcd,chính 13 mp & phụ 2 mp,5 mp,mediatek mt6762 8 nhân (helio p22),2 gb,32 gb
oppo,điện thoại oppo reno 4 xanh,https://pico.vn/41677/dien-thoai-di-dong-oppo-cph2113--reno-4-xanh.html,6490000,https://cdn.pico.vn/product/41677/361493_untitled-1.jpg,android 10,amoled,4 camera sau: 48 mp + 8 mp + 2 mp + 2 mp,camera trước 32mp,nan,8gb,"128 gb,microsd hỗ trợ thẻ tối đa 256 gb"
oppo,điện thoại oppo reno 4 đen,https://pico.vn/41676/dien-thoai-di-dong-oppo-cph2113--reno-4-den.html,6490000,https://cdn.pico.vn/product/41676/361515_untitled-1.jpg,android 10,amoled,4 camera sau: 48 mp + 8 mp + 2 mp + 2 mp,camera trước 32mp,nan,8gb,"128 gb,microsd hỗ trợ thẻ tối đa 256 gb"
oppo,điện thoại oppo a53 (4gb) xanh cph2127,https://pico.vn/41671/dien-thoai-di-dong-oppo-cph2127--a53-4gb-xanh.html,3990000,https://cdn.pico.vn/product/41671/361527_oppo-a53-2020-xanh-duong-1-org.jpg,android 10,nan,3 camera sau: 13 mp + 2 mp + 2 mp,camera trước 16mp,snapdragon 460 8 nhân,ram 4 gb,128 gb
oppo,điện thoại oppo a53 (4gb) đen cph2127,https://pico.vn/41670/dien-thoai-di-dong-oppo-cph2127--a53-4gb-den.html,3990000,https://cdn.pico.vn/product/41670/361521_oppo-a53-2020-den-1-org.jpg,android 10,nan,3 camera sau: 13 mp + 2 mp + 2 mp,camera trước 16mp,snapdragon 460 8 nhân,ram 4 gb,128 gb
nokia,điện thoại nokia 5310 (2020),https://pico.vn/41646/dien-thoai-di-dong-nokia-5310-ta1212-ds-vn-blackred.html,990000,https://cdn.pico.vn/product/41646/361162_4110ru1t4kl.jpg,nan,nan,camera vga có đèn flash,nan,nan,nan,nan
samsung,điện thoại samsung galaxy a01 core (sm-a013g xanh ),https://pico.vn/41606/dien-thoai-di-dong-samsung-sma013g-xanh--galaxy-a01-core.html,1890000,https://cdn.pico.vn/product/41606/360527_untitled-1.jpg,android 10,nan,sau : 8mp,trước : 5 mp,nan,1 gb,16gb
nokia,điện thoại nokia 150 ta-1235 ds vn cyan - model 2020,https://pico.vn/41542/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-cyan--model-2020.html,649000,https://cdn.pico.vn/product/41542/359703_untitled-1.jpg,nan,tft,vga (480 x 640 pixels),nan,nan,nan,nan
