name,url,price,ram,rom,image,category
điện thoại oppo reno5 đen,https://www.nguyenkim.com/dien-thoai-oppo-reno5-den.html,7990000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại oppo reno4 xanh thiên hà,https://www.nguyenkim.com/dien-thoai-oppo-reno4-xanh-thien-ha.html,6990000, 8 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại oppo a93 (8gb/128gb) đen,https://www.nguyenkim.com/dien-thoai-oppo-a93-8gb-128gbden.html,5990000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại xiaomi poco x3 6gb/128gb xanh dương,https://www.nguyenkim.com/dien-thoai-xiaomi-poco-x3-6gb-128gb-xanh-duong.html,5790000, 6 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại xiaomi redmi note 10 4gb/64gb xám,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-xam.html,4290000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại vivo y20s (6gb/128gb) xanh pha lê,https://www.nguyenkim.com/dien-thoai-vivo-y20s-6gb-128gb-xanh-pha-le.html,4590000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vivo
vivo y19 (6gb/128gb) trắng sương mai,https://www.nguyenkim.com/vivo-y19-trang.html,4490000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vivo
điện thoại xiaomi redmi note 10 4gb/64gb trắng,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-trang.html,4290000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại vsmart live 4 (6gb/64gb) xanh lục bảo,https://www.nguyenkim.com/dien-thoai-vsmart-live-4-6gb-64gb-xanh-luc-bao.html,3990000, 6gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại oppo a15 trắng,https://www.nguyenkim.com/dien-thoai-oppo-a15-trang.html,3190000, 3gb , 32gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại nokia 3.4 4gb/64gb xám,https://www.nguyenkim.com/dien-thoai-nokia-3.4-4gb-64gb-xam.html,2790000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
điện thoại vsmart star 5 3gb/32gb xanh bạc hà,https://www.nguyenkim.com/dien-thoai-vsmart-star-5-3gb-32gb-xanh-bac-ha.html,2490000, 3gb , 32gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại nokia 2.4 xám,https://www.nguyenkim.com/dien-thoai-nokia-2.4-xam.html,2190000, 2 gb , 32 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
điện thoại nokia 150 đỏ,https://www.nguyenkim.com/dien-thoai-nokia-150-do.html,659000, 4 mb , 4 mb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
điện thoại nokia 105 ds vn black (2019),https://www.nguyenkim.com/nokia-105-ds-vn-black-2019.html,369000,,,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
điện thoại samsung galaxy s20 ultra xám,https://www.nguyenkim.com/samsung-galaxy-s20-ultra.html,20990000, 12 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy note 20 ultra trắng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-note-20-ultra-trang.html,27990000, 8 gb , 256 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy s21 plus 5g 8gb/256gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-s21-plus-5g-8gb-256gb-den.html,19490000, 8gb , 256gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a72 4g 8gb/256gb trắng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a72-4g-8gb-256gb-trang.html,10690000, 8gb , 256gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại oppo a94 8gb/128gb đen,https://www.nguyenkim.com/dien-thoai-oppo-a94-8gb-128gb-den.html,7690000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại vivo v20 (8gb/128gb) xanh hồng,https://www.nguyenkim.com/dien-thoai-vivo-v20-8gb-128gb-xanh-hong.html,7490000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vivo
điện thoại oppo a92 đen,https://www.nguyenkim.com/dien-thoai-oppo-a92-den.html,5990000, 8 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
