name,url,price,ram,rom,image,category
xiaomi mi 11 5g 8/256gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-11-8-256gb-pid182256.html,19990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-mi-11-(12-256gb)-2.jpg,xiaomi
oppo a54,https://viettelstore.vn/dien-thoai/oppo-a54-pid181174.html,4690000,4gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/oppo-a54-blu-1.jpg,oppo
iphone 12 pro max 512gb,https://viettelstore.vn/dien-thoai/iphone-12-pro-max-512gb-pid159263.html,37990000,6gb,512gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/iphone%2012%20pro%20-pro%20max-blu-1433881914.jpg,iphone
samsung galaxy a01,https://viettelstore.vn/dien-thoai/samsung-galaxy-a01-pid143975.html,2290000,2 gb,16 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/a01.jpg,samsung
xiaomi redmi note 10 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-note-10-pid182722.html,5490000,6gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-note-10-gree-1.jpg,xiaomi
nokia 5.4 4gb/128gb,https://viettelstore.vn/dien-thoai/nokia-5-4-4gb-128gb-pid179647.html,3690000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/nokia-5.4-blu-1.jpg,nokia
realme 6 (4gb/128gb),https://viettelstore.vn/dien-thoai/realme-6-4gb-128gb-pid147072.html,5490000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-6-whit-1.jpg,realme
realme 6 (8gb/128gb),https://viettelstore.vn/dien-thoai/realme-6-8gb-128gb-pid148429.html,5990000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme-6-blu-1.jpg,realme
xiaomi redmi 9 4/64gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9-4-64gb-pid179419.html,3290000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/redmi-9-4-64-purl-1.jpg,xiaomi
oppo find x2 5g,https://viettelstore.vn/dien-thoai/oppo-find-x2-pid145474.html,23990000,12gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/lg-5g-oppo-find-x2.jpg,oppo
vsmart star 5 3/32gb,https://viettelstore.vn/dien-thoai/vsmart-star-5-3-32gb-pid186286.html,2690000,3gb,32gb ,https://cdn1.viettelstore.vn/images/product/productimage/medium/vsmart-star-5-bla-1.jpg,vsmart
oppo a31 6gb/128gb,https://viettelstore.vn/dien-thoai/oppo-a31-6gb-128gb-pid147511.html,3810000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/1665923038565425283.jpeg,oppo
