Tên,Link,Giá,Ảnh,Hệ điều hành,Loại màn hình,Camera sau,Camera trước,Chipset,RAM,Bộ nhớ trong (ROM)
Samsung Galaxy Note 20 Ultra 256Gb Đồng,https://pico.vn/41527/dien-thoai-di-dong-samsung-smn985fds-256gb-dong--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/Product/41527/359643_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,Android 10,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)","108MP + 12MP + 12MP, công nghệ cảm biến Laser AF
Quay phim 8K",10MP,Exynos 990 8 nhân 64-bit,8 Gb,"256 GB, hỗ trợ thẻ nhớ MicroSD 1TB"
Samsung Galaxy Note 20 Ultra 256Gb Đen,https://pico.vn/41526/dien-thoai-di-dong-samsung-smn985fds-256gb-den--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/Product/41526/359626_sm-n985986galaxynote20ultrafrontpenmysticblack200529.jpg,Android 10,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)","108MP + 12MP + 12MP, công nghệ cảm biến Laser AF
Quay phim 8K",10MP,Exynos 990 8 nhân 64-bit,8 Gb,"256 GB, hỗ trợ thẻ nhớ MicroSD 1TB"
Samsung Galaxy A51 128GB Bạc,https://pico.vn/41502/dien-thoai-di-dong-samsung-a515fdsn-128gb-bac--galaxy-a51.html,6990000,https://cdn.pico.vn/Product/41502/359149_untitled-1.jpg,Android 9.0 (Pie),Super AMOLED,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,,6 GB,128 GB
Điện Thoại Vivo Y11 (3+32GB) Xanh Ngọc Trai,https://pico.vn/41249/dien-thoai-di-dong-vivo-1906-y11-332gb-xanh-ngoc-trai.html,2790000,https://cdn.pico.vn/Product/41249/355786_vivo-y11-xanh-da-troi-nhat-1-org.jpg,Android 9.0 (Pie),IPS LCD HD+,Camera sau: Chính 13 MP & Phụ 2 M.,Camera trước: 8 MP,Qualcomm 439,Ram 3GB,32GB
Điện Thoại Vivo Y30( 4+128GB) Xanh Dương,https://pico.vn/41248/dien-thoai-di-dong-vivo-1938y30-4128gb-xanh-duong.html,3290000,https://cdn.pico.vn/Product/41248/355773_untitled-1.jpg,Android 10,IPS LCD HD+,"Camera sau: Chính 13 MP & Phụ 8Mp,2 MP,2Mp.",Camera trước: 8 MP,MediaTek Helio P35,Ram 4 GB,128GB
Điện Thoại Vivo Y30( 4+128GB) Trắng,https://pico.vn/41247/dien-thoai-di-dong-vivo-1938y30-4128gb-trang.html,3290000,https://cdn.pico.vn/Product/41247/355766_untitled-1.jpg,Android 10,IPS LCD HD+,"Camera sau: Chính 13 MP & Phụ 8Mp,2 MP,2Mp.",Camera trước: 8 MP,MediaTek Helio P35,Ram 4 GB,128GB
ĐTDĐ Samsung Galaxy A21s 32GB Đen,https://pico.vn/41242/dtdd-samsung-sma217fds-32gb-dengalaxy-a21s.html,3890000,https://cdn.pico.vn/Product/41242/355873_untitled-1.jpg,Android 10,TFT,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",Độ phân giải : 13.0 MP,,3 Gb,32 GB
ĐTDĐ Samsung Galaxy A21s 32GB Xanh,https://pico.vn/41241/dtdd-samsung-sma217fds-32gb-xanhgalaxy-a21s.html,3890000,https://cdn.pico.vn/Product/41241/355861_untitled-1.jpg,Android 10,TFT,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",Độ phân giải : 13.0 MP,,3 Gb,32 GB
Điện Thoại Vivo V19( 8+128GB) Đen Thiên Thạch (Gleam black),https://pico.vn/41180/dien-thoai-di-dong-vivo-1933v19-8128gb-den-thien-thach-gleam-black.html,5990000,https://cdn.pico.vn/Product/41180/355010_untitled-1.jpg,Funtouch OS 10 (Dựa trên nền tảng Android 10),Super AMOLED,Camera sau: 48MP+8MP+2MP+2MP,Camera trước: 32MP+8MP,SDM 712,Ram 8GB,128 GB
Điện Thoại Samsung Galaxy A11 32GB Đen,https://pico.vn/41126/dtdd-samsung-sma115fds-32gb-dengalaxy-a11.html,2690000,https://cdn.pico.vn/Product/41126/354270_untitled-1.jpg,Android 10,PLS TFT LCD,"Sau : 13Mp, 5Mp, 2Mp (3 camera)",Trước : 8 MP,Snapdragon 450 8 nhân,Ram 3GB,"32GB,"
