name,category,price,image,url,ram,memory/rom
vsmart joy 4 4gb,vsmart,3.090.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart-joy-4_1__2.png,https://cellphones.com.vn/vsmart-joy-4-4gb.html,4 gb,
oppo a15,oppo,3.090.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-a15_1_.jpg,https://cellphones.com.vn/oppo-a15.html,3 gb,
xiaomi redmi 9 (3gb- 32gb),xiaomi,2.790.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi_9_0002_layer_1.jpg,https://cellphones.com.vn/xiaomi-redmi-9.html,3 gb,
iphone 11 pro max 256gb i chính hãng vn/a ,iphone,32.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/ip-11-pro-xam.jpg,https://cellphones.com.vn/iphone-11-pro-max-256gb.html,4 gb,
nokia 5.4,nokia,3.690.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-5-4-xanh_1.png,https://cellphones.com.vn/nokia-54.html,4 gb,
vsmart aris pro,vsmart,6.690.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/1/1/11_1_8.png,https://cellphones.com.vn/vsmart-aris-pro.html,8 gb,
oppo a15s,oppo,3.590.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-a15s-2_2.jpg,https://cellphones.com.vn/oppo-a15s.html,4 gb,
realme c25,realme,3.600.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme-c25-1.jpg,https://cellphones.com.vn/realme-c25.html,4 gb,
iphone 12 pro 256gb i chính hãng vn/a ,iphone,28.800.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12-pro-max_3__8.jpg,https://cellphones.com.vn/iphone-12-pro-256gb.html,6 gb,
nokia 3.4,nokia,2.790.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-34_1_.jpg,https://cellphones.com.vn/nokia-34.html,4 gb,
vsmart aris 6gb 64gb,vsmart,5.190.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/1/1/11_1_4.png,https://cellphones.com.vn/vsmart-aris.html,6 gb,
oppo reno5 5g,oppo,10.690.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-reno-5-5g_2_.jpg,https://cellphones.com.vn/oppo-reno-5-5g.html,8 gb,
samsung galaxy a71,samsung,7.700.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a71-thumblo_n-tra_ng-600x600_1_2_1.jpg,https://cellphones.com.vn/samsung-galaxy-a71.html,8 gb,
iphone 12 mini 128gb i chính hãng vn/a ,iphone,18.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12_7__6_2.jpg,https://cellphones.com.vn/iphone-12-mini-128gb.html,4 gb,
iphone xr 128gb i chính hãng vn/a ,iphone,14.390.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/a/p/apple-iphone-xr-64-gb-chinh-hang-vn_1__1.jpg,https://cellphones.com.vn/apple-iphone-xr-128-gb-chinh-hang-vn.html,3 gb,
xiaomi poco x3 nfc 64gb,xiaomi,5.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-poco-x3_2__3.jpg,https://cellphones.com.vn/xiaomi-poco-x3-64gb.html,6 gb,
xiaomi redmi note 9 3g (3gb - 64gb),xiaomi,3.400.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi_note_9_0000_layer_3_2.jpg,https://cellphones.com.vn/xiaomi-redmi-note-9-64gb.html,3 gb,
samsung galaxy s21 ultra 5g (đã kích hoạt bảo hành online),samsung,20.800.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s21-ultra-1_1_1_1.jpg,https://cellphones.com.vn/samsung-galaxy-s21-ultra-da-kich-hoat-online.html,12 gb,
